201 100
0.0316252 0.443402 0.00802874
0.0315204 0.447018 0.00739169
0.0308057 0.447833 0.00801607
0.0309415 0.448269 0.00870041
0.0312234 0.459474 0.00817907
0.0315963 0.448038 0.0083984
0.0326315 0.449131 0.00801989
0.0324075 0.466575 0.00827141
0.0319455 0.466897 0.00803989
0.0318195 0.457284 0.0085389
0.0323631 0.453335 0.00840138
0.0320369 0.448722 0.00912643
0.0326044 0.456102 0.00835881
0.032597 0.472811 0.00818866
0.032661 0.451205 0.00907715
0.0325438 0.48059 0.0089402
0.0325321 0.467959 0.00849321
0.0327443 0.486221 0.00822543
0.0328387 0.449255 0.00823845
0.0331126 0.466595 0.0082264
0.0333422 0.460724 0.00790455
0.0333654 0.476 0.0079743
0.0333699 0.494366 0.00947591
0.0341211 0.454792 0.00815254
0.0336049 0.482144 0.00860431
0.0335168 0.451916 0.00776856
0.0342406 0.463229 0.00838142
0.0343647 0.47319 0.00818955
0.0349207 0.465594 0.00746677
0.0348255 0.480355 0.0081429
0.034529 0.471955 0.00876878
0.0339726 0.476327 0.00865402
0.0342736 0.477274 0.00986687
0.034453 0.459862 0.00860393
0.0342771 0.50449 0.00803939
0.0338947 0.486947 0.00857171
0.0338509 0.473705 0.00857325
0.0336473 0.485899 0.00864405
0.0338398 0.469775 0.00846315
0.0336148 0.505089 0.00854188
0.0341106 0.474751 0.0082209
0.0337419 0.475107 0.00839097
0.0339229 0.487131 0.00878356
0.0339274 0.499375 0.00803564
0.0342154 0.480991 0.00862096
0.0343558 0.474328 0.00791389
0.034234 0.490999 0.00828002
0.0339203 0.505168 0.00833278
0.0340346 0.488873 0.00913489
0.0341879 0.514618 0.00828552
0.0343943 0.482286 0.00862836
0.0352872 0.477162 0.00926156
0.0352296 0.50808 0.00852892
0.0351453 0.472362 0.00815491
0.0359727 0.509677 0.00844837
0.035308 0.492333 0.00863699
0.0353483 0.4851 0.00917646
0.0357887 0.498503 0.00810465
0.0351507 0.494387 0.00882008
0.0349778 0.506586 0.00855104
0.0351569 0.51743 0.0083979
0.0353415 0.526933 0.00874339
0.0357447 0.489755 0.00882351
0.0356674 0.540227 0.00875813
0.0357576 0.46277 0.00960182
0.0367948 0.512488 0.0082791
0.0367434 0.511722 0.00862963
0.0370916 0.507637 0.00841215
0.037106 0.539214 0.00891853
0.0377374 0.520457 0.00897812
0.0372165 0.511194 0.00872492
0.0372901 0.482696 0.00863719
0.0371285 0.51624 0.00830022
0.0365668 0.53319 0.00853546
0.0368462 0.508373 0.00821597
0.036794 0.48952 0.00831023
0.0367031 0.535816 0.00824522
0.0362848 0.524821 0.00819821
0.0357618 0.518189 0.00921185
0.0366103 0.510491 0.00935107
0.0368871 0.511751 0.00820058
0.0372688 0.503429 0.00834214
0.0374616 0.506597 0.008456
0.0377375 0.531322 0.00810127
0.0379865 0.530001 0.00842161
0.0377255 0.528631 0.00871912
0.0381269 0.518946 0.00936091
0.0385498 0.527087 0.00869162
0.0383902 0.513069 0.00884141
0.0378077 0.543407 0.00915534
0.0378489 0.515497 0.00936586
0.0376957 0.524117 0.0085899
0.0380535 0.515976 0.00871187
0.0383117 0.538378 0.00889256
0.0382466 0.507392 0.00847717
0.0379742 0.524502 0.00846474
